config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple_cadical,add_sat_200,c,cadical,1,,292205,0.0181015,0.0189864,SAT,
simple_cadical,add_sat_200,c,cadical,2,,292205,0.018206,0.0190886,SAT,
simple_cadical,add_sat_2000,c,cadical,1,,2922005,0.247911,0.25801,SAT,
simple_cadical,add_sat_2000,c,cadical,2,,2922005,0.247029,0.257077,SAT,
simple_cadical,add_unsat_200,c,cadical,1,,359004,4.88041,5.03225,UNSAT,
simple_cadical,add_unsat_200,c,cadical,2,,359004,4.8671,5.01859,UNSAT,
simple_cadical,chain_sat_500,c,cadical,1,,3005009,0.144376,0.153674,SAT,
simple_cadical,chain_sat_500,c,cadical,2,,3005009,0.143958,0.153268,SAT,
simple_cadical,distrib_unsat_20,c,cadical,1,,783149,6.84396,6.84999,SAT,
simple_cadical,distrib_unsat_20,c,cadical,2,,783149,6.91591,6.92194,SAT,
simple_cadical,equiv_unsat_100,c,cadical,1,,168503,1.87874,1.94771,UNSAT,
simple_cadical,equiv_unsat_100,c,cadical,2,,168503,1.88011,1.94923,UNSAT,
simple_cadical,incr_sat_5000,c,cadical,1,,1445003,0.0760836,0.840333,SAT,
simple_cadical,incr_sat_5000,c,cadical,2,,1445003,0.0751869,0.836339,SAT,
simple_cadical,mixed_sat_500,c,cadical,1,,1752010,1.09908,1.11697,SAT,
simple_cadical,mixed_sat_500,c,cadical,2,,1752010,1.07797,1.09554,SAT,
simple_cadical,narrow_sat_10000,c,cadical,1,,3680004,2.581e-05,0.00952493,UNSAT,
simple_cadical,narrow_sat_10000,c,cadical,2,,3680004,2.406e-05,0.00950311,UNSAT,
simple_cadical,overflow_sat_200,c,cadical,1,,1337306,0.0352284,0.0468767,SAT,
simple_cadical,overflow_sat_200,c,cadical,2,,1337306,0.0351809,0.046899,SAT,
simple_cadical,sub_sat_1000,c,cadical,1,,1932005,0.0566745,0.0636989,SAT,
simple_cadical,sub_sat_1000,c,cadical,2,,1932005,0.0562211,0.0631525,SAT,
