config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple_cadical_rv,add_sat_200,c,cadical,1,,292205,0.0054227,0.00573215,SAT,
simple_cadical_rv,add_sat_200,c,cadical,2,,292205,0.00543514,0.00572525,SAT,
simple_cadical_rv,add_sat_2000,c,cadical,1,,2922005,0.0644955,0.0671442,SAT,
simple_cadical_rv,add_sat_2000,c,cadical,2,,2922005,0.0643113,0.0670129,SAT,
simple_cadical_rv,add_unsat_200,c,cadical,1,,359004,5.07071,5.0965,UNSAT,
simple_cadical_rv,add_unsat_200,c,cadical,2,,359004,5.01275,5.03859,UNSAT,
simple_cadical_rv,chain_sat_500,c,cadical,1,,3005009,0.174674,0.177362,SAT,
simple_cadical_rv,chain_sat_500,c,cadical,2,,3005009,0.173586,0.176274,SAT,
simple_cadical_rv,distrib_unsat_20,c,cadical,1,,783149,0.0965026,0.0972139,SAT,
simple_cadical_rv,distrib_unsat_20,c,cadical,2,,783149,0.0957431,0.0964496,SAT,
simple_cadical_rv,equiv_unsat_100,c,cadical,1,,168503,1.53187,1.54628,UNSAT,
simple_cadical_rv,equiv_unsat_100,c,cadical,2,,168503,1.53899,1.55378,UNSAT,
simple_cadical_rv,incr_sat_5000,c,cadical,1,,1445003,0.599005,0.792128,SAT,
simple_cadical_rv,incr_sat_5000,c,cadical,2,,1445003,0.595748,0.790121,SAT,
simple_cadical_rv,mixed_sat_500,c,cadical,1,,1752010,13.8691,13.8782,SAT,
simple_cadical_rv,mixed_sat_500,c,cadical,2,,1752010,13.7391,13.7481,SAT,
simple_cadical_rv,narrow_sat_10000,c,cadical,1,,3680004,0.016363,0.0163806,UNSAT,
simple_cadical_rv,narrow_sat_10000,c,cadical,2,,3680004,0.0161914,0.0162075,UNSAT,
simple_cadical_rv,overflow_sat_200,c,cadical,1,,1337306,0.0283536,0.0294576,SAT,
simple_cadical_rv,overflow_sat_200,c,cadical,2,,1337306,0.0281033,0.0292618,SAT,
simple_cadical_rv,sub_sat_1000,c,cadical,1,,1932005,0.0506263,0.0524761,SAT,
simple_cadical_rv,sub_sat_1000,c,cadical,2,,1932005,0.0508944,0.0527316,SAT,
