config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple_cadical_xg,add_sat_200,c,cadical,1,,292204,4.35725,4.47583,UNSAT,25600
simple_cadical_xg,add_sat_200,c,cadical,2,,292204,4.36212,4.48071,UNSAT,25600
simple_cadical_xg,add_sat_2000,c,cadical,1,,2922004,T/O,T/O,UNKNOWN,
simple_cadical_xg,add_sat_2000,c,cadical,2,,2922004,T/O,T/O,UNKNOWN,
simple_cadical_xg,add_unsat_200,c,cadical,1,,359004,2.69495,2.84713,UNSAT,25600
simple_cadical_xg,add_unsat_200,c,cadical,2,,359004,2.6558,2.80751,UNSAT,25600
simple_cadical_xg,chain_sat_500,c,cadical,1,,3005006,T/O,T/O,UNKNOWN,
simple_cadical_xg,chain_sat_500,c,cadical,2,,3005006,T/O,T/O,UNKNOWN,
simple_cadical_xg,distrib_unsat_20,c,cadical,1,,783147,16.7314,17.0325,UNSAT,68700
simple_cadical_xg,distrib_unsat_20,c,cadical,2,,783147,16.7665,17.0668,UNSAT,68700
simple_cadical_xg,equiv_unsat_100,c,cadical,1,,168503,1.20132,1.26997,UNSAT,18800
simple_cadical_xg,equiv_unsat_100,c,cadical,2,,168503,1.26722,1.33658,UNSAT,18800
simple_cadical_xg,incr_sat_5000,c,cadical,1,,1445003,T/O,T/O,UNKNOWN,
simple_cadical_xg,incr_sat_5000,c,cadical,2,,1445003,T/O,T/O,UNKNOWN,
simple_cadical_xg,mixed_sat_500,c,cadical,1,,1752007,T/O,T/O,UNKNOWN,
simple_cadical_xg,mixed_sat_500,c,cadical,2,,1752007,T/O,T/O,UNKNOWN,
simple_cadical_xg,narrow_sat_10000,c,cadical,1,,3680003,T/O,T/O,UNKNOWN,
simple_cadical_xg,narrow_sat_10000,c,cadical,2,,3680003,T/O,T/O,UNKNOWN,
simple_cadical_xg,overflow_sat_200,c,cadical,1,,1337304,35.1575,35.7306,UNSAT,102000
simple_cadical_xg,overflow_sat_200,c,cadical,2,,1337304,33.0721,33.6434,UNSAT,102000
simple_cadical_xg,sub_sat_1000,c,cadical,1,,1932004,T/O,T/O,UNKNOWN,
simple_cadical_xg,sub_sat_1000,c,cadical,2,,1932004,T/O,T/O,UNKNOWN,
simple_cadical_xg,wide_sat_1000,c,cadical,1,,2933004,T/O,T/O,UNKNOWN,
simple_cadical_xg,wide_sat_1000,c,cadical,2,,2933004,T/O,T/O,UNKNOWN,
simple_cadical_xg,add_3operand_16,smt2,cadical,1,194,,2.423e-05,2.423e-05,UNSAT,
simple_cadical_xg,add_3operand_16,smt2,cadical,2,194,,1.7852e-05,1.7852e-05,UNSAT,
simple_cadical_xg,add_4operand_16,smt2,cadical,1,242,,1.8995e-05,1.8995e-05,UNSAT,
simple_cadical_xg,add_4operand_16,smt2,cadical,2,242,,1.8226e-05,1.8226e-05,UNSAT,
simple_cadical_xg,add_assoc_64,smt2,cadical,1,770,,1.549e-05,1.549e-05,UNSAT,
simple_cadical_xg,add_assoc_64,smt2,cadical,2,770,,1.5223e-05,1.5223e-05,UNSAT,
simple_cadical_xg,add_associative_32,smt2,cadical,1,386,,1.704e-05,1.704e-05,UNSAT,
simple_cadical_xg,add_associative_32,smt2,cadical,2,386,,1.552e-05,1.552e-05,UNSAT,
simple_cadical_xg,add_commutative_32,smt2,cadical,1,226,,1.6067e-05,1.6067e-05,UNSAT,
simple_cadical_xg,add_commutative_32,smt2,cadical,2,226,,1.5569e-05,1.5569e-05,UNSAT,
simple_cadical_xg,add_compare_16,smt2,cadical,1,96,,1.8209e-05,1.8209e-05,UNSAT,
simple_cadical_xg,add_compare_16,smt2,cadical,2,96,,1.7512e-05,1.7512e-05,UNSAT,
simple_cadical_xg,add_identity_32,smt2,cadical,1,33,,1.5349e-05,1.5349e-05,UNSAT,
simple_cadical_xg,add_identity_32,smt2,cadical,2,33,,1.7321e-05,1.7321e-05,UNSAT,
simple_cadical_xg,add_inverse_32,smt2,cadical,1,158,,1.8248e-05,1.8248e-05,UNSAT,
simple_cadical_xg,add_inverse_32,smt2,cadical,2,158,,1.7979e-05,1.7979e-05,UNSAT,
simple_cadical_xg,add_inverse_64,smt2,cadical,1,318,,1.915e-05,1.915e-05,UNSAT,
simple_cadical_xg,add_inverse_64,smt2,cadical,2,318,,2.0555e-05,2.0555e-05,UNSAT,
