config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple_cadical_xg_rv,add_sat_200,c,cadical,1,,292204,39.4937,39.5165,UNSAT,25600
simple_cadical_xg_rv,add_sat_200,c,cadical,2,,292204,38.0818,38.1044,UNSAT,25600
simple_cadical_xg_rv,add_sat_2000,c,cadical,1,,2922004,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,add_sat_2000,c,cadical,2,,2922004,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,add_unsat_200,c,cadical,1,,359004,37.2375,37.263,UNSAT,25600
simple_cadical_xg_rv,add_unsat_200,c,cadical,2,,359004,37.7977,37.8233,UNSAT,25600
simple_cadical_xg_rv,chain_sat_500,c,cadical,1,,3005006,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,chain_sat_500,c,cadical,2,,3005006,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,distrib_unsat_20,c,cadical,1,,783147,16.9635,17.019,UNSAT,68700
simple_cadical_xg_rv,distrib_unsat_20,c,cadical,2,,783147,17.1294,17.1846,UNSAT,68700
simple_cadical_xg_rv,equiv_unsat_100,c,cadical,1,,168503,1.6339,1.64819,UNSAT,18800
simple_cadical_xg_rv,equiv_unsat_100,c,cadical,2,,168503,1.70069,1.7152,UNSAT,18800
simple_cadical_xg_rv,incr_sat_5000,c,cadical,1,,1445003,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,incr_sat_5000,c,cadical,2,,1445003,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,mixed_sat_500,c,cadical,1,,1752007,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,mixed_sat_500,c,cadical,2,,1752007,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,narrow_sat_10000,c,cadical,1,,3680003,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,narrow_sat_10000,c,cadical,2,,3680003,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,overflow_sat_200,c,cadical,1,,1337304,T/O,T/O,UNKNOWN,102000
simple_cadical_xg_rv,overflow_sat_200,c,cadical,2,,1337304,T/O,T/O,UNKNOWN,102000
simple_cadical_xg_rv,sub_sat_1000,c,cadical,1,,1932004,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,sub_sat_1000,c,cadical,2,,1932004,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,wide_sat_1000,c,cadical,1,,2933004,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,wide_sat_1000,c,cadical,2,,2933004,T/O,T/O,UNKNOWN,
simple_cadical_xg_rv,add_3operand_16,smt2,cadical,1,194,,1.8999e-05,1.8999e-05,UNSAT,
simple_cadical_xg_rv,add_3operand_16,smt2,cadical,2,194,,1.6235e-05,1.6235e-05,UNSAT,
simple_cadical_xg_rv,add_4operand_16,smt2,cadical,1,242,,1.8692e-05,1.8692e-05,UNSAT,
simple_cadical_xg_rv,add_4operand_16,smt2,cadical,2,242,,1.8674e-05,1.8674e-05,UNSAT,
simple_cadical_xg_rv,add_assoc_64,smt2,cadical,1,770,,1.5042e-05,1.5042e-05,UNSAT,
simple_cadical_xg_rv,add_assoc_64,smt2,cadical,2,770,,1.5109e-05,1.5109e-05,UNSAT,
simple_cadical_xg_rv,add_associative_32,smt2,cadical,1,386,,1.8289e-05,1.8289e-05,UNSAT,
simple_cadical_xg_rv,add_associative_32,smt2,cadical,2,386,,1.5757e-05,1.5757e-05,UNSAT,
simple_cadical_xg_rv,add_commutative_32,smt2,cadical,1,226,,1.3528e-05,1.3528e-05,UNSAT,
simple_cadical_xg_rv,add_commutative_32,smt2,cadical,2,226,,1.5802e-05,1.5802e-05,UNSAT,
simple_cadical_xg_rv,add_compare_16,smt2,cadical,1,96,,1.7608e-05,1.7608e-05,UNSAT,
simple_cadical_xg_rv,add_compare_16,smt2,cadical,2,96,,1.7627e-05,1.7627e-05,UNSAT,
simple_cadical_xg_rv,add_identity_32,smt2,cadical,1,33,,1.7756e-05,1.7756e-05,UNSAT,
simple_cadical_xg_rv,add_identity_32,smt2,cadical,2,33,,1.6874e-05,1.6874e-05,UNSAT,
simple_cadical_xg_rv,add_inverse_32,smt2,cadical,1,158,,1.5583e-05,1.5583e-05,UNSAT,
simple_cadical_xg_rv,add_inverse_32,smt2,cadical,2,158,,1.5502e-05,1.5502e-05,UNSAT,
simple_cadical_xg_rv,add_inverse_64,smt2,cadical,1,318,,2.0103e-05,2.0103e-05,UNSAT,
simple_cadical_xg_rv,add_inverse_64,smt2,cadical,2,318,,2.0303e-05,2.0303e-05,UNSAT,
simple_cadical_xg_rv,add_monotone_32,smt2,cadical,1,225,,1.8752e-05,1.8752e-05,UNSAT,
simple_cadical_xg_rv,add_monotone_32,smt2,cadical,2,225,,1.8726e-05,1.8726e-05,UNSAT,
simple_cadical_xg_rv,adder_chain_32,smt2,cadical,1,545,,1.6696e-05,1.6696e-05,UNSAT,
simple_cadical_xg_rv,adder_chain_32,smt2,cadical,2,545,,1.7814e-05,1.7814e-05,UNSAT,
simple_cadical_xg_rv,adder_equiv_16,smt2,cadical,1,194,,1.8259e-05,1.8259e-05,UNSAT,
simple_cadical_xg_rv,adder_equiv_16,smt2,cadical,2,194,,1.5721e-05,1.5721e-05,UNSAT,
simple_cadical_xg_rv,carry_chain_16,smt2,cadical,1,144,,1.757e-05,1.757e-05,UNSAT,
simple_cadical_xg_rv,carry_chain_16,smt2,cadical,2,144,,1.7442e-05,1.7442e-05,UNSAT,
simple_cadical_xg_rv,carry_chain_32,smt2,cadical,1,288,,1.5316e-05,1.5316e-05,UNSAT,
simple_cadical_xg_rv,carry_chain_32,smt2,cadical,2,288,,1.7612e-05,1.7612e-05,UNSAT,
simple_cadical_xg_rv,carry_chain_64,smt2,cadical,1,576,,1.6097e-05,1.6097e-05,UNSAT,
simple_cadical_xg_rv,carry_chain_64,smt2,cadical,2,576,,1.6196e-05,1.6196e-05,UNSAT,
simple_cadical_xg_rv,carry_propagation_32,smt2,cadical,1,194,,1.7755e-05,1.7755e-05,SAT,
simple_cadical_xg_rv,carry_propagation_32,smt2,cadical,2,194,,1.7815e-05,1.7815e-05,SAT,
simple_cadical_xg_rv,carry_save_equiv_8,smt2,cadical,1,72,,1.7282e-05,1.7282e-05,UNSAT,
simple_cadical_xg_rv,carry_save_equiv_8,smt2,cadical,2,72,,1.5753e-05,1.5753e-05,UNSAT,
simple_cadical_xg_rv,mul_by_shift_add_16,smt2,cadical,1,123,,1.6001e-05,1.6001e-05,UNSAT,
simple_cadical_xg_rv,mul_by_shift_add_16,smt2,cadical,2,123,,1.7472e-05,1.7472e-05,UNSAT,
simple_cadical_xg_rv,mul_by_shift_add_32,smt2,cadical,1,184,,1.6052e-05,1.6052e-05,UNSAT,
simple_cadical_xg_rv,mul_by_shift_add_32,smt2,cadical,2,184,,1.7562e-05,1.7562e-05,UNSAT,
simple_cadical_xg_rv,signed_overflow_32,smt2,cadical,1,225,,1.5851e-05,1.5851e-05,SAT,
