config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple_minisat,add_sat_200,c,minisat2,1,,292204,0.729706,0.821871,SAT,
simple_minisat,add_sat_200,c,minisat2,2,,292204,0.731824,0.8245,SAT,
simple_minisat,add_sat_2000,c,minisat2,1,,2922004,31.0558,32.016,SAT,
simple_minisat,add_sat_2000,c,minisat2,2,,2922004,30.9633,31.9341,SAT,
simple_minisat,add_unsat_200,c,minisat2,1,,358004,2.67514,2.78982,UNSAT,
simple_minisat,add_unsat_200,c,minisat2,2,,358004,2.68823,2.80236,UNSAT,
simple_minisat,chain_sat_500,c,minisat2,1,,1604735,0.571031,0.571063,SAT,
simple_minisat,chain_sat_500,c,minisat2,2,,1604735,0.564771,0.564803,SAT,
simple_minisat,distrib_unsat_20,c,minisat2,1,,495567,1.47348,1.72946,SAT,
simple_minisat,distrib_unsat_20,c,minisat2,2,,495567,1.45689,1.69556,SAT,
simple_minisat,equiv_unsat_100,c,minisat2,1,,168502,9.36197,9.41708,UNSAT,
simple_minisat,equiv_unsat_100,c,minisat2,2,,168502,9.39609,9.45126,UNSAT,
simple_minisat,incr_sat_5000,c,minisat2,1,,1445002,1.15822,1.72259,SAT,
simple_minisat,incr_sat_5000,c,minisat2,2,,1445002,1.15768,1.71924,SAT,
simple_minisat,mixed_sat_500,c,minisat2,1,,1033508,13.0485,13.6561,SAT,
simple_minisat,mixed_sat_500,c,minisat2,2,,1033508,13.3254,13.9351,SAT,
simple_minisat,narrow_sat_10000,c,minisat2,1,,2,1.0894e-05,2.2173e-05,UNSAT,
simple_minisat,narrow_sat_10000,c,minisat2,2,,2,1.263e-05,3.2526e-05,UNSAT,
simple_minisat,overflow_sat_200,c,minisat2,1,,779316,0.0498934,0.0499282,SAT,
simple_minisat,overflow_sat_200,c,minisat2,2,,779316,0.0505587,0.0505903,SAT,
simple_minisat,sub_sat_1000,c,minisat2,1,,1932004,13.5585,14.1819,SAT,
simple_minisat,sub_sat_1000,c,minisat2,2,,1932004,13.5597,14.1861,SAT,
simple_minisat,wide_sat_1000,c,minisat2,1,,2933004,38.6631,39.593,SAT,
simple_minisat,wide_sat_1000,c,minisat2,2,,2933004,38.7623,39.6967,SAT,
simple_minisat,add_3operand_16,smt2,minisat2,1,194,,1.896e-05,1.896e-05,UNSAT,
simple_minisat,add_3operand_16,smt2,minisat2,2,194,,1.6529e-05,1.6529e-05,UNSAT,
simple_minisat,add_4operand_16,smt2,minisat2,1,242,,1.8641e-05,1.8641e-05,UNSAT,
simple_minisat,add_4operand_16,smt2,minisat2,2,242,,1.6151e-05,1.6151e-05,UNSAT,
simple_minisat,add_assoc_64,smt2,minisat2,1,770,,1.6334e-05,1.6334e-05,UNSAT,
simple_minisat,add_assoc_64,smt2,minisat2,2,770,,1.7828e-05,1.7828e-05,UNSAT,
simple_minisat,add_associative_32,smt2,minisat2,1,386,,1.8401e-05,1.8401e-05,UNSAT,
simple_minisat,add_associative_32,smt2,minisat2,2,386,,1.5993e-05,1.5993e-05,UNSAT,
simple_minisat,add_commutative_32,smt2,minisat2,1,226,,1.6495e-05,1.6495e-05,UNSAT,
simple_minisat,add_commutative_32,smt2,minisat2,2,226,,1.5919e-05,1.5919e-05,UNSAT,
simple_minisat,add_compare_16,smt2,minisat2,1,96,,1.5333e-05,1.5333e-05,UNSAT,
simple_minisat,add_compare_16,smt2,minisat2,2,96,,1.8455e-05,1.8455e-05,UNSAT,
simple_minisat,add_identity_32,smt2,minisat2,1,33,,1.745e-05,1.745e-05,UNSAT,
simple_minisat,add_identity_32,smt2,minisat2,2,33,,1.5093e-05,1.5093e-05,UNSAT,
simple_minisat,add_inverse_32,smt2,minisat2,1,158,,1.8264e-05,1.8264e-05,UNSAT,
simple_minisat,add_inverse_32,smt2,minisat2,2,158,,1.6345e-05,1.6345e-05,UNSAT,
simple_minisat,add_inverse_64,smt2,minisat2,1,318,,1.8316e-05,1.8316e-05,UNSAT,
simple_minisat,add_inverse_64,smt2,minisat2,2,318,,1.8523e-05,1.8523e-05,UNSAT,
simple_minisat,add_monotone_32,smt2,minisat2,1,225,,1.8612e-05,1.8612e-05,UNSAT,
simple_minisat,add_monotone_32,smt2,minisat2,2,225,,1.7727e-05,1.7727e-05,UNSAT,
simple_minisat,adder_chain_32,smt2,minisat2,1,545,,1.9754e-05,1.9754e-05,UNSAT,
simple_minisat,adder_chain_32,smt2,minisat2,2,545,,1.8647e-05,1.8647e-05,UNSAT,
simple_minisat,adder_equiv_16,smt2,minisat2,1,194,,1.5865e-05,1.5865e-05,UNSAT,
simple_minisat,adder_equiv_16,smt2,minisat2,2,194,,1.7817e-05,1.7817e-05,UNSAT,
simple_minisat,carry_chain_16,smt2,minisat2,1,144,,1.5289e-05,1.5289e-05,UNSAT,
