config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple_rv,add_sat_200,c,cadical,1,,292205,0.00539942,0.00569808,SAT,
simple_rv,add_sat_200,c,cadical,2,,292205,0.00550563,0.00581117,SAT,
simple_rv,add_sat_2000,c,cadical,1,,2922005,0.0642056,0.0669237,SAT,
simple_rv,add_sat_2000,c,cadical,2,,2922005,0.0649413,0.0676771,SAT,
simple_rv,add_unsat_200,c,cadical,1,,359004,5.05559,5.08119,UNSAT,
simple_rv,add_unsat_200,c,cadical,2,,359004,5.04637,5.07168,UNSAT,
simple_rv,chain_sat_500,c,cadical,1,,3005009,0.175709,0.17833,SAT,
simple_rv,chain_sat_500,c,cadical,2,,3005009,0.173348,0.176037,SAT,
simple_rv,equiv_unsat_100,c,cadical,1,,168503,1.51962,1.53386,UNSAT,
simple_rv,equiv_unsat_100,c,cadical,2,,168503,1.52305,1.53733,UNSAT,
simple_rv,incr_sat_5000,c,cadical,1,,1445003,0.592773,0.786705,SAT,
simple_rv,incr_sat_5000,c,cadical,2,,1445003,0.593763,0.785236,SAT,
simple_rv,mixed_sat_500,c,cadical,1,,1752010,13.6521,13.6613,SAT,
simple_rv,mixed_sat_500,c,cadical,2,,1752010,13.6526,13.6617,SAT,
simple_rv,narrow_sat_10000,c,cadical,1,,3680004,0.016385,0.0164013,UNSAT,
simple_rv,narrow_sat_10000,c,cadical,2,,3680004,0.0164852,0.0165028,UNSAT,
simple_rv,sub_sat_1000,c,cadical,1,,1932005,0.0506395,0.0524515,SAT,
simple_rv,sub_sat_1000,c,cadical,2,,1932005,0.0510077,0.0528553,SAT,
simple_rv,wide_sat_1000,c,cadical,1,,2933005,0.0606035,0.0632908,SAT,
simple_rv,wide_sat_1000,c,cadical,2,,2933005,0.0606503,0.06329,SAT,
simple_rv,add_3operand_16,smt2,cadical,1,438,,T/O,T/O,UNSAT,
simple_rv,add_3operand_16,smt2,cadical,2,438,,T/O,T/O,UNSAT,
simple_rv,add_4operand_16,smt2,cadical,1,547,,T/O,T/O,UNSAT,
simple_rv,add_4operand_16,smt2,cadical,2,547,,T/O,T/O,UNSAT,
simple_rv,add_assoc_64,smt2,cadical,1,1782,,T/O,T/O,UNSAT,
simple_rv,add_assoc_64,smt2,cadical,2,1782,,T/O,T/O,UNSAT,
simple_rv,add_associative_32,smt2,cadical,1,886,,T/O,T/O,UNSAT,
simple_rv,add_associative_32,smt2,cadical,2,886,,T/O,T/O,UNSAT,
simple_rv,add_commutative_32,smt2,cadical,1,476,,T/O,T/O,UNSAT,
simple_rv,add_commutative_32,smt2,cadical,2,476,,T/O,T/O,UNSAT,
simple_rv,add_compare_16,smt2,cadical,1,112,,T/O,T/O,UNSAT,
simple_rv,add_compare_16,smt2,cadical,2,112,,T/O,T/O,UNSAT,
simple_rv,add_identity_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
simple_rv,add_identity_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
simple_rv,add_inverse_32,smt2,cadical,1,283,,T/O,T/O,UNSAT,
simple_rv,add_inverse_32,smt2,cadical,2,283,,T/O,T/O,UNSAT,
simple_rv,add_inverse_64,smt2,cadical,1,571,,T/O,T/O,UNSAT,
simple_rv,add_inverse_64,smt2,cadical,2,571,,T/O,T/O,UNSAT,
simple_rv,add_monotone_32,smt2,cadical,1,350,,T/O,T/O,UNSAT,
simple_rv,add_monotone_32,smt2,cadical,2,350,,T/O,T/O,UNSAT,
simple_rv,adder_chain_32,smt2,cadical,1,1166,,T/O,T/O,UNSAT,
simple_rv,adder_chain_32,smt2,cadical,2,1166,,T/O,T/O,UNSAT,
simple_rv,adder_equiv_16,smt2,cadical,1,438,,T/O,T/O,UNSAT,
simple_rv,adder_equiv_16,smt2,cadical,2,438,,T/O,T/O,UNSAT,
simple_rv,carry_chain_16,smt2,cadical,1,262,,T/O,T/O,UNSAT,
simple_rv,carry_chain_16,smt2,cadical,2,262,,T/O,T/O,UNSAT,
simple_rv,carry_chain_32,smt2,cadical,1,534,,T/O,T/O,UNSAT,
simple_rv,carry_chain_32,smt2,cadical,2,534,,T/O,T/O,UNSAT,
simple_rv,carry_chain_64,smt2,cadical,1,1078,,T/O,T/O,UNSAT,
simple_rv,carry_chain_64,smt2,cadical,2,1078,,T/O,T/O,UNSAT,
simple_rv,carry_propagation_32,smt2,cadical,1,319,,T/O,T/O,SAT,
simple_rv,carry_propagation_32,smt2,cadical,2,319,,T/O,T/O,SAT,
simple_rv,carry_save_equiv_8,smt2,cadical,1,126,,T/O,T/O,UNSAT,
simple_rv,carry_save_equiv_8,smt2,cadical,2,126,,T/O,T/O,UNSAT,
simple_rv,mul_by_shift_add_16,smt2,cadical,1,253,,T/O,T/O,UNSAT,
simple_rv,mul_by_shift_add_16,smt2,cadical,2,253,,T/O,T/O,UNSAT,
simple_rv,mul_by_shift_add_32,smt2,cadical,1,418,,T/O,T/O,UNSAT,
simple_rv,mul_by_shift_add_32,smt2,cadical,2,418,,T/O,T/O,UNSAT,
simple_rv,signed_overflow_32,smt2,cadical,1,350,,T/O,T/O,SAT,
simple_rv,signed_overflow_32,smt2,cadical,2,350,,T/O,T/O,SAT,
simple_rv,sub_as_add_32,smt2,cadical,1,538,,T/O,T/O,UNSAT,
simple_rv,sub_as_add_32,smt2,cadical,2,538,,T/O,T/O,UNSAT,
simple_rv,sub_self_32,smt2,cadical,1,160,,T/O,T/O,UNSAT,
simple_rv,sub_self_32,smt2,cadical,2,160,,T/O,T/O,UNSAT,
simple_rv,unsigned_no_overflow_small_16,smt2,cadical,1,174,,T/O,T/O,UNSAT,
simple_rv,unsigned_no_overflow_small_16,smt2,cadical,2,174,,T/O,T/O,UNSAT,
simple_rv,unsigned_overflow_16,smt2,cadical,1,174,,T/O,T/O,SAT,
simple_rv,unsigned_overflow_16,smt2,cadical,2,174,,T/O,T/O,SAT,
