config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple_xg,add_sat_200,c,cadical,1,,292205,0.0183272,0.0192232,SAT,
simple_xg,add_sat_200,c,cadical,2,,292205,0.0180335,0.0188945,SAT,
simple_xg,add_sat_2000,c,cadical,1,,2922005,0.23886,0.248497,SAT,
simple_xg,add_sat_2000,c,cadical,2,,2922005,0.241326,0.25109,SAT,
simple_xg,add_unsat_200,c,cadical,1,,359004,4.7358,4.87974,UNSAT,
simple_xg,add_unsat_200,c,cadical,2,,359004,4.74389,4.89045,UNSAT,
simple_xg,chain_sat_500,c,cadical,1,,3005009,0.144756,0.153688,SAT,
simple_xg,chain_sat_500,c,cadical,2,,3005009,0.142717,0.1515,SAT,
simple_xg,equiv_unsat_100,c,cadical,1,,168503,1.85631,1.92138,UNSAT,
simple_xg,equiv_unsat_100,c,cadical,2,,168503,1.86113,1.92625,UNSAT,
simple_xg,incr_sat_5000,c,cadical,1,,1445003,0.0710198,0.789976,SAT,
simple_xg,incr_sat_5000,c,cadical,2,,1445003,0.07165,0.7969,SAT,
simple_xg,mixed_sat_500,c,cadical,1,,1752010,0.964645,0.981497,SAT,
simple_xg,mixed_sat_500,c,cadical,2,,1752010,0.958398,0.975269,SAT,
simple_xg,narrow_sat_10000,c,cadical,1,,3680004,2.3416e-05,0.00915192,UNSAT,
simple_xg,narrow_sat_10000,c,cadical,2,,3680004,2.6275e-05,0.00921313,UNSAT,
simple_xg,sub_sat_1000,c,cadical,1,,1932005,0.0562994,0.063159,SAT,
simple_xg,sub_sat_1000,c,cadical,2,,1932005,0.0563537,0.0632809,SAT,
simple_xg,wide_sat_1000,c,cadical,1,,2933005,0.234483,0.243259,SAT,
simple_xg,wide_sat_1000,c,cadical,2,,2933005,0.236387,0.245164,SAT,
simple_xg,add_3operand_16,smt2,cadical,1,438,,T/O,T/O,UNSAT,
simple_xg,add_3operand_16,smt2,cadical,2,438,,T/O,T/O,UNSAT,
simple_xg,add_4operand_16,smt2,cadical,1,547,,T/O,T/O,UNSAT,
simple_xg,add_4operand_16,smt2,cadical,2,547,,T/O,T/O,UNSAT,
simple_xg,add_assoc_64,smt2,cadical,1,1782,,T/O,T/O,UNSAT,
simple_xg,add_assoc_64,smt2,cadical,2,1782,,T/O,T/O,UNSAT,
simple_xg,add_associative_32,smt2,cadical,1,886,,T/O,T/O,UNSAT,
simple_xg,add_associative_32,smt2,cadical,2,886,,T/O,T/O,UNSAT,
simple_xg,add_commutative_32,smt2,cadical,1,476,,T/O,T/O,UNSAT,
simple_xg,add_commutative_32,smt2,cadical,2,476,,T/O,T/O,UNSAT,
simple_xg,add_compare_16,smt2,cadical,1,112,,T/O,T/O,UNSAT,
simple_xg,add_compare_16,smt2,cadical,2,112,,T/O,T/O,UNSAT,
simple_xg,add_identity_32,smt2,cadical,1,33,,T/O,T/O,UNSAT,
simple_xg,add_identity_32,smt2,cadical,2,33,,T/O,T/O,UNSAT,
simple_xg,add_inverse_32,smt2,cadical,1,283,,T/O,T/O,UNSAT,
simple_xg,add_inverse_32,smt2,cadical,2,283,,T/O,T/O,UNSAT,
simple_xg,add_inverse_64,smt2,cadical,1,571,,T/O,T/O,UNSAT,
simple_xg,add_inverse_64,smt2,cadical,2,571,,T/O,T/O,UNSAT,
simple_xg,add_monotone_32,smt2,cadical,1,350,,T/O,T/O,UNSAT,
simple_xg,add_monotone_32,smt2,cadical,2,350,,T/O,T/O,UNSAT,
simple_xg,adder_chain_32,smt2,cadical,1,1166,,T/O,T/O,UNSAT,
simple_xg,adder_chain_32,smt2,cadical,2,1166,,T/O,T/O,UNSAT,
