config,benchmark,type,solver,run,vars,clauses,solver_time_s,total_time_s,result,xor_constraints
simple_xg_rv,add_sat_200,c,cadical,1,,292204,37.7707,37.7935,UNSAT,25600
simple_xg_rv,add_sat_200,c,cadical,2,,292204,38.9178,38.9404,UNSAT,25600
simple_xg_rv,add_sat_2000,c,cadical,1,,2922004,T/O,T/O,UNKNOWN,
simple_xg_rv,add_sat_2000,c,cadical,2,,2922004,T/O,T/O,UNKNOWN,
simple_xg_rv,add_unsat_200,c,cadical,1,,359004,38.3541,38.3799,UNSAT,25600
simple_xg_rv,add_unsat_200,c,cadical,2,,359004,37.7015,37.727,UNSAT,25600
simple_xg_rv,chain_sat_500,c,cadical,1,,3005006,T/O,T/O,UNKNOWN,
simple_xg_rv,chain_sat_500,c,cadical,2,,3005006,T/O,T/O,UNKNOWN,
simple_xg_rv,equiv_unsat_100,c,cadical,1,,168503,1.60536,1.61966,UNSAT,18800
simple_xg_rv,equiv_unsat_100,c,cadical,2,,168503,1.6656,1.67979,UNSAT,18800
simple_xg_rv,incr_sat_5000,c,cadical,1,,1445003,T/O,T/O,UNKNOWN,
simple_xg_rv,incr_sat_5000,c,cadical,2,,1445003,T/O,T/O,UNKNOWN,
simple_xg_rv,mixed_sat_500,c,cadical,1,,1752007,T/O,T/O,UNKNOWN,
simple_xg_rv,mixed_sat_500,c,cadical,2,,1752007,T/O,T/O,UNKNOWN,
simple_xg_rv,narrow_sat_10000,c,cadical,1,,3680003,T/O,T/O,UNKNOWN,
simple_xg_rv,narrow_sat_10000,c,cadical,2,,3680003,T/O,T/O,UNKNOWN,
simple_xg_rv,sub_sat_1000,c,cadical,1,,1932004,T/O,T/O,UNKNOWN,
simple_xg_rv,sub_sat_1000,c,cadical,2,,1932004,T/O,T/O,UNKNOWN,
simple_xg_rv,wide_sat_1000,c,cadical,1,,2933004,T/O,T/O,UNKNOWN,
simple_xg_rv,wide_sat_1000,c,cadical,2,,2933004,T/O,T/O,UNKNOWN,
simple_xg_rv,add_3operand_16,smt2,cadical,1,438,,T/O,T/O,UNSAT,
simple_xg_rv,add_3operand_16,smt2,cadical,2,438,,T/O,T/O,UNSAT,
simple_xg_rv,add_4operand_16,smt2,cadical,1,547,,T/O,T/O,UNSAT,
simple_xg_rv,add_4operand_16,smt2,cadical,2,547,,T/O,T/O,UNSAT,
simple_xg_rv,add_assoc_64,smt2,cadical,1,1782,,T/O,T/O,UNSAT,
simple_xg_rv,add_assoc_64,smt2,cadical,2,1782,,T/O,T/O,UNSAT,
simple_xg_rv,add_associative_32,smt2,cadical,1,886,,T/O,T/O,UNSAT,
simple_xg_rv,add_associative_32,smt2,cadical,2,886,,T/O,T/O,UNSAT,
simple_xg_rv,add_commutative_32,smt2,cadical,1,476,,T/O,T/O,UNSAT,
simple_xg_rv,add_commutative_32,smt2,cadical,2,476,,T/O,T/O,UNSAT,
simple_xg_rv,add_compare_16,smt2,cadical,1,112,,T/O,T/O,UNSAT,
