repo,proof,backend,result,exit_code,wall_time_s,max_rss_kb
mldsa-native,H,smt,SUCCESS,0,2.05,74828
mldsa-native,H,sat_cadical,SUCCESS,0,1.06,195896
mldsa-native,H,sat_minisat,SUCCESS,0,0.91,89764
mldsa-native,attempt_signature_generation,smt,TIMEOUT,124,300.07,198644
mldsa-native,attempt_signature_generation,sat_cadical,TIMEOUT,124,300.82,20134328
mldsa-native,attempt_signature_generation,sat_minisat,TIMEOUT,124,300.46,7164368
mldsa-native,attempt_signature_generation,smt_afs,SUCCESS,0,224.47,4215500
mldsa-native,attempt_signature_generation,sat_cadical_afs,TIMEOUT,124,300.84,20072892
mldsa-native,caddq,smt,SUCCESS,0,0.22,42608
mldsa-native,caddq,sat_cadical,SUCCESS,0,0.22,56600
mldsa-native,caddq,sat_minisat,SUCCESS,0,0.18,36376
mldsa-native,check_pct,smt,SUCCESS,0,1.51,142956
mldsa-native,check_pct,sat_cadical,SUCCESS,0,1.81,344628
mldsa-native,check_pct,sat_minisat,SUCCESS,0,1.67,135628
mldsa-native,compute_pack_z,smt,SUCCESS,0,3.1,153632
mldsa-native,compute_pack_z,sat_cadical,SUCCESS,0,134.37,2484488
mldsa-native,compute_pack_z,sat_minisat,SUCCESS,0,64.61,946588
mldsa-native,compute_pack_z,smt_afs,SUCCESS,0,3.26,176036
mldsa-native,compute_pack_z,sat_cadical_afs,SUCCESS,0,135.95,2485372
mldsa-native,compute_t0_t1_tr_from_sk_components,smt,SUCCESS,0,23.22,1341192
mldsa-native,compute_t0_t1_tr_from_sk_components,sat_cadical,TIMEOUT,124,300.41,12009928
mldsa-native,compute_t0_t1_tr_from_sk_components,sat_minisat,TIMEOUT,124,300.25,4394232
mldsa-native,compute_t0_t1_tr_from_sk_components,smt_afs,SUCCESS,0,12.35,1149556
mldsa-native,compute_t0_t1_tr_from_sk_components,sat_cadical_afs,TIMEOUT,124,300.53,11942088
mldsa-native,ct_abs_i32,smt,SUCCESS,0,0.22,42620
mldsa-native,ct_abs_i32,sat_cadical,SUCCESS,0,0.27,71700
mldsa-native,ct_abs_i32,sat_minisat,SUCCESS,0,0.19,36916
mldsa-native,ct_cmask_neg_i32,smt,SUCCESS,0,0.15,33356
mldsa-native,ct_cmask_neg_i32,sat_cadical,SUCCESS,0,0.14,48124
mldsa-native,ct_cmask_neg_i32,sat_minisat,SUCCESS,0,0.12,29152
mldsa-native,ct_cmask_nonzero_u32,smt,SUCCESS,0,0.16,33432
mldsa-native,ct_cmask_nonzero_u32,sat_cadical,SUCCESS,0,0.14,48256
mldsa-native,ct_cmask_nonzero_u32,sat_minisat,SUCCESS,0,0.12,29992
mldsa-native,ct_cmask_nonzero_u8,smt,SUCCESS,0,0.1,32640
mldsa-native,ct_cmask_nonzero_u8,sat_cadical,SUCCESS,0,0.09,34924
mldsa-native,ct_cmask_nonzero_u8,sat_minisat,SUCCESS,0,0.08,25180
mldsa-native,ct_get_optblocker_i64,smt,SUCCESS,0,0.09,21960
mldsa-native,ct_get_optblocker_i64,sat_cadical,SUCCESS,0,0.09,22680
mldsa-native,ct_get_optblocker_i64,sat_minisat,SUCCESS,0,0.09,22228
mldsa-native,ct_get_optblocker_u32,smt,SUCCESS,0,0.09,22260
mldsa-native,ct_get_optblocker_u32,sat_cadical,SUCCESS,0,0.09,22660
mldsa-native,ct_get_optblocker_u32,sat_minisat,SUCCESS,0,0.09,22276
mldsa-native,ct_get_optblocker_u8,smt,SUCCESS,0,0.09,21936
mldsa-native,ct_get_optblocker_u8,sat_cadical,SUCCESS,0,0.09,22860
mldsa-native,ct_get_optblocker_u8,sat_minisat,SUCCESS,0,0.09,22252
mldsa-native,ct_memcmp,smt,SUCCESS,0,32.51,57776
mldsa-native,ct_memcmp,sat_cadical,SUCCESS,0,0.79,86032
mldsa-native,ct_memcmp,sat_minisat,SUCCESS,0,0.91,48300
mldsa-native,ct_sel_int32,smt,SUCCESS,0,0.17,42048
mldsa-native,ct_sel_int32,sat_cadical,SUCCESS,0,0.16,49752
mldsa-native,ct_sel_int32,sat_minisat,SUCCESS,0,0.13,30400
mldsa-native,decompose,smt,SUCCESS,0,0.45,43884
mldsa-native,decompose,sat_cadical,SUCCESS,0,0.48,68444
mldsa-native,decompose,sat_minisat,SUCCESS,0,0.3,41168
mldsa-native,fqmul,smt,SUCCESS,0,15.96,53972
mldsa-native,fqmul,sat_cadical,SUCCESS,0,0.6,102548
mldsa-native,fqmul,sat_minisat,SUCCESS,0,0.25,48140
mldsa-native,fqscale,smt,SUCCESS,0,0.29,29136
mldsa-native,fqscale,sat_cadical,SUCCESS,0,0.21,55448
mldsa-native,fqscale,sat_minisat,SUCCESS,0,0.15,33388
mldsa-native,intt_native_x86_64,smt,SUCCESS,0,0.55,72672
mldsa-native,intt_native_x86_64,sat_cadical,SUCCESS,0,15.94,547100
mldsa-native,intt_native_x86_64,sat_minisat,SUCCESS,0,6.75,195288
mldsa-native,invntt_layer,smt,SUCCESS,0,109.34,219964
mldsa-native,invntt_layer,sat_cadical,OOM,6,275.15,29718028
mldsa-native,invntt_layer,sat_minisat,TIMEOUT,124,300.68,8742376
mldsa-native,keccak_absorb,smt,SUCCESS,0,4.28,75848
mldsa-native,keccak_absorb,sat_cadical,SUCCESS,0,3.13,153536
mldsa-native,keccak_absorb,sat_minisat,SUCCESS,0,2.72,83384
mldsa-native,keccak_absorb_once_x4,smt,SUCCESS,0,10.39,242376
mldsa-native,keccak_absorb_once_x4,sat_cadical,SUCCESS,0,13.4,268616
mldsa-native,keccak_absorb_once_x4,sat_minisat,SUCCESS,0,9.28,173316
mldsa-native,keccak_finalize,smt,SUCCESS,0,0.27,43024
mldsa-native,keccak_finalize,sat_cadical,SUCCESS,0,0.27,59192
mldsa-native,keccak_finalize,sat_minisat,SUCCESS,0,0.23,37292
mldsa-native,keccak_init,smt,SUCCESS,0,0.11,30636
mldsa-native,keccak_init,sat_cadical,SUCCESS,0,0.09,28340
mldsa-native,keccak_init,sat_minisat,SUCCESS,0,0.09,25396
mldsa-native,keccak_squeeze,smt,SUCCESS,0,1.51,52256
mldsa-native,keccak_squeeze,sat_cadical,SUCCESS,0,1.83,149296
mldsa-native,keccak_squeeze,sat_minisat,SUCCESS,0,2.04,74916
mldsa-native,keccak_squeezeblocks_x4,smt,SUCCESS,0,39.59,168688
mldsa-native,keccak_squeezeblocks_x4,sat_cadical,OOM,6,121.06,29007776
mldsa-native,keccak_squeezeblocks_x4,sat_minisat,OOM,6,133.02,27603848
mldsa-native,keccak_squeezeblocks_x4,smt_afs,SUCCESS,0,57.28,249656
mldsa-native,keccak_squeezeblocks_x4,sat_cadical_afs,OOM,6,127.43,29904884
mldsa-native,keccakf1600_extract_bytes,smt,SUCCESS,0,0.25,43436
mldsa-native,keccakf1600_extract_bytes,sat_cadical,SUCCESS,0,0.3,56636
mldsa-native,keccakf1600_extract_bytes,sat_minisat,SUCCESS,0,0.28,36080
mldsa-native,keccakf1600_extract_bytes_BE,smt,SUCCESS,0,0.24,43176
mldsa-native,keccakf1600_extract_bytes_BE,sat_cadical,SUCCESS,0,0.29,54088
mldsa-native,keccakf1600_extract_bytes_BE,sat_minisat,SUCCESS,0,0.26,34188
mldsa-native,keccakf1600_permute,smt,SUCCESS,0,6.18,84776
mldsa-native,keccakf1600_permute,sat_cadical,SUCCESS,0,6.21,213332
mldsa-native,keccakf1600_permute,sat_minisat,SUCCESS,0,6.41,108848
mldsa-native,keccakf1600_permute_native,smt,SUCCESS,0,6.53,91488
mldsa-native,keccakf1600_permute_native,sat_cadical,SUCCESS,0,6.34,231668
mldsa-native,keccakf1600_permute_native,sat_minisat,SUCCESS,0,6.08,123856
mldsa-native,keccakf1600_xor_bytes,smt,SUCCESS,0,0.6,42152
